trial_number,block,n_back_level,sensory_condition,accuracy,reaction_time,participant_id,session
1,1,,,3.0,0.0,2,1
2,1,,,3.0,0.0,2,1
3,1,,,3.0,0.0,2,1
4,1,,,4.0,0.0,2,1
5,1,,,4.0,0.0,2,1
6,1,,,3.0,0.0,2,1
7,1,,,4.0,0.0,2,1
8,1,,,4.0,0.0,2,1
9,1,,,3.0,0.0,2,1
10,1,,,3.0,0.0,2,1
11,1,,,3.0,0.0,2,1
12,1,,,3.0,0.0,2,1
13,1,,,3.0,0.0,2,1
14,1,,,3.0,0.0,2,1
15,1,,,4.0,0.0,2,1
16,1,,,3.0,0.0,2,1
17,1,,,3.0,0.0,2,1
18,1,,,3.0,0.0,2,1
19,1,,,3.0,415.0,2,1
20,1,,,3.0,0.0,2,1
21,1,,,3.0,0.0,2,1
22,1,,,3.0,0.0,2,1
23,2,,,3.0,0.0,2,1
24,2,,,3.0,0.0,2,1
25,2,,,3.0,0.0,2,1
26,2,,,3.0,0.0,2,1
27,2,,,3.0,0.0,2,1
28,2,,,3.0,0.0,2,1
29,2,,,4.0,0.0,2,1
30,2,,,3.0,146.0,2,1
31,2,,,4.0,0.0,2,1
32,2,,,4.0,0.0,2,1
33,2,,,4.0,0.0,2,1
34,2,,,3.0,0.0,2,1
35,2,,,3.0,0.0,2,1
36,2,,,3.0,0.0,2,1
37,2,,,3.0,0.0,2,1
38,2,,,4.0,0.0,2,1
39,2,,,3.0,0.0,2,1
40,2,,,3.0,0.0,2,1
41,2,,,3.0,0.0,2,1
42,2,,,3.0,0.0,2,1
43,2,,,3.0,302.0,2,1
44,2,,,3.0,0.0,2,1
45,3,1.0,no_music,3.0,0.0,2,1
46,3,1.0,no_music,3.0,0.0,2,1
47,3,1.0,no_music,3.0,0.0,2,1
48,3,1.0,no_music,4.0,0.0,2,1
49,3,1.0,no_music,4.0,0.0,2,1
50,3,1.0,no_music,3.0,0.0,2,1
51,3,1.0,no_music,4.0,0.0,2,1
52,3,1.0,no_music,4.0,471.0,2,1
53,3,1.0,no_music,3.0,0.0,2,1
54,3,1.0,no_music,3.0,0.0,2,1
55,3,1.0,no_music,3.0,419.0,2,1
56,3,1.0,no_music,3.0,384.0,2,1
57,3,1.0,no_music,3.0,492.0,2,1
58,3,1.0,no_music,3.0,0.0,2,1
59,3,1.0,no_music,4.0,0.0,2,1
60,3,1.0,no_music,3.0,405.0,2,1
61,3,1.0,no_music,3.0,432.0,2,1
62,3,1.0,no_music,3.0,0.0,2,1
63,3,1.0,no_music,3.0,0.0,2,1
64,3,1.0,no_music,3.0,390.0,2,1
65,3,1.0,no_music,3.0,332.0,2,1
66,3,1.0,no_music,3.0,423.0,2,1
67,4,1.0,,3.0,0.0,2,1
68,4,1.0,,3.0,306.0,2,1
69,4,1.0,,3.0,278.0,2,1
70,4,1.0,,3.0,468.0,2,1
71,4,1.0,,3.0,433.0,2,1
72,4,1.0,,3.0,0.0,2,1
73,4,1.0,,4.0,0.0,2,1
74,4,1.0,,3.0,0.0,2,1
75,4,1.0,,4.0,0.0,2,1
76,4,1.0,,4.0,0.0,2,1
77,4,1.0,,4.0,0.0,2,1
78,4,1.0,,3.0,0.0,2,1
79,4,1.0,,3.0,0.0,2,1
80,4,1.0,,3.0,0.0,2,1
81,4,1.0,,3.0,494.0,2,1
82,4,1.0,,4.0,0.0,2,1
83,4,1.0,,3.0,0.0,2,1
84,4,1.0,,3.0,0.0,2,1
85,4,1.0,,3.0,0.0,2,1
86,4,1.0,,3.0,0.0,2,1
87,4,1.0,,3.0,429.0,2,1
88,4,1.0,,3.0,438.0,2,1
89,5,1.0,,3.0,0.0,2,1
90,5,1.0,,3.0,418.0,2,1
91,5,1.0,,3.0,255.0,2,1
92,5,1.0,,3.0,0.0,2,1
93,5,1.0,,3.0,0.0,2,1
94,5,1.0,,4.0,0.0,2,1
95,5,1.0,,3.0,455.0,2,1
96,5,1.0,,3.0,450.0,2,1
97,5,1.0,,3.0,0.0,2,1
98,5,1.0,,3.0,413.0,2,1
99,5,1.0,,3.0,0.0,2,1
100,5,1.0,,3.0,460.0,2,1
101,5,1.0,,3.0,0.0,2,1
102,5,1.0,,4.0,0.0,2,1
103,5,1.0,,3.0,400.0,2,1
104,5,1.0,,4.0,0.0,2,1
105,5,1.0,,3.0,396.0,2,1
106,5,1.0,,4.0,0.0,2,1
107,5,1.0,,4.0,0.0,2,1
108,5,1.0,,3.0,0.0,2,1
109,5,1.0,,3.0,0.0,2,1
110,5,1.0,,3.0,0.0,2,1
111,6,1.0,,3.0,0.0,2,1
112,6,1.0,,3.0,0.0,2,1
113,6,1.0,,3.0,467.0,2,1
114,6,1.0,,3.0,486.0,2,1
115,6,1.0,,3.0,371.0,2,1
116,6,1.0,,3.0,397.0,2,1
117,6,1.0,,3.0,391.0,2,1
118,6,1.0,,3.0,0.0,2,1
119,6,1.0,,4.0,0.0,2,1
120,6,1.0,,3.0,0.0,2,1
121,6,1.0,,4.0,0.0,2,1
122,6,1.0,,3.0,374.0,2,1
123,6,1.0,,4.0,479.0,2,1
