trial_number,block,n_back_level,sensory_condition,accuracy,reaction_time,participant_id,session
1,1,,,3.0,0.0,19,1
2,1,,,3.0,0.0,19,1
3,1,,,3.0,0.0,19,1
4,1,,,4.0,0.0,19,1
5,1,,,4.0,0.0,19,1
6,1,,,3.0,0.0,19,1
7,1,,,4.0,434.0,19,1
8,1,,,4.0,0.0,19,1
9,1,,,3.0,0.0,19,1
10,1,,,3.0,0.0,19,1
11,1,,,3.0,0.0,19,1
12,1,,,3.0,0.0,19,1
13,1,,,3.0,0.0,19,1
14,1,,,3.0,0.0,19,1
15,1,,,4.0,446.0,19,1
16,1,,,3.0,0.0,19,1
17,1,,,3.0,0.0,19,1
18,1,,,3.0,0.0,19,1
19,1,,,3.0,441.0,19,1
20,1,,,3.0,0.0,19,1
21,1,,,3.0,0.0,19,1
22,1,,,3.0,468.0,19,1
23,2,,,3.0,0.0,19,1
24,2,,,3.0,0.0,19,1
25,2,,,3.0,478.0,19,1
26,2,,,3.0,0.0,19,1
27,2,,,3.0,0.0,19,1
28,2,,,3.0,0.0,19,1
29,2,,,4.0,0.0,19,1
30,2,,,3.0,0.0,19,1
31,2,,,4.0,0.0,19,1
32,2,,,4.0,0.0,19,1
33,2,,,4.0,0.0,19,1
34,2,,,3.0,0.0,19,1
35,2,,,3.0,0.0,19,1
36,2,,,3.0,0.0,19,1
37,2,,,3.0,0.0,19,1
38,2,,,4.0,0.0,19,1
39,2,,,3.0,0.0,19,1
40,2,,,3.0,0.0,19,1
41,2,,,3.0,0.0,19,1
42,2,,,3.0,0.0,19,1
43,2,,,3.0,0.0,19,1
44,2,,,3.0,0.0,19,1
45,3,1.0,no_music,3.0,0.0,19,1
46,3,1.0,no_music,3.0,0.0,19,1
47,3,1.0,no_music,3.0,0.0,19,1
48,3,1.0,no_music,4.0,0.0,19,1
49,3,1.0,no_music,4.0,0.0,19,1
50,3,1.0,no_music,3.0,0.0,19,1
51,3,1.0,no_music,4.0,0.0,19,1
52,3,1.0,no_music,4.0,0.0,19,1
53,3,1.0,no_music,3.0,0.0,19,1
54,3,1.0,no_music,3.0,0.0,19,1
55,3,1.0,no_music,3.0,0.0,19,1
56,3,1.0,no_music,3.0,0.0,19,1
57,3,1.0,no_music,3.0,0.0,19,1
58,3,1.0,no_music,3.0,0.0,19,1
59,3,1.0,no_music,4.0,0.0,19,1
60,3,1.0,no_music,3.0,0.0,19,1
61,3,1.0,no_music,3.0,0.0,19,1
62,3,1.0,no_music,3.0,0.0,19,1
63,3,1.0,no_music,3.0,0.0,19,1
64,3,1.0,no_music,3.0,0.0,19,1
65,3,1.0,no_music,3.0,0.0,19,1
66,3,1.0,no_music,3.0,0.0,19,1
67,4,1.0,,3.0,0.0,19,1
68,4,1.0,,3.0,0.0,19,1
69,4,1.0,,3.0,0.0,19,1
70,4,1.0,,3.0,0.0,19,1
71,4,1.0,,3.0,0.0,19,1
72,4,1.0,,3.0,0.0,19,1
73,4,1.0,,4.0,0.0,19,1
74,4,1.0,,3.0,0.0,19,1
75,4,1.0,,4.0,42.0,19,1
76,4,1.0,,4.0,0.0,19,1
77,4,1.0,,4.0,0.0,19,1
78,4,1.0,,3.0,0.0,19,1
79,4,1.0,,3.0,0.0,19,1
80,4,1.0,,3.0,0.0,19,1
81,4,1.0,,3.0,0.0,19,1
82,4,1.0,,4.0,0.0,19,1
83,4,1.0,,3.0,0.0,19,1
84,4,1.0,,3.0,0.0,19,1
85,4,1.0,,3.0,0.0,19,1
86,4,1.0,,3.0,0.0,19,1
87,4,1.0,,3.0,0.0,19,1
88,4,1.0,,3.0,0.0,19,1
89,5,1.0,,3.0,0.0,19,1
90,5,1.0,,3.0,0.0,19,1
91,5,1.0,,3.0,0.0,19,1
92,5,1.0,,3.0,0.0,19,1
93,5,1.0,,3.0,0.0,19,1
94,5,1.0,,4.0,0.0,19,1
95,5,1.0,,3.0,0.0,19,1
96,5,1.0,,3.0,0.0,19,1
97,5,1.0,,3.0,0.0,19,1
98,5,1.0,,3.0,0.0,19,1
99,5,1.0,,3.0,0.0,19,1
100,5,1.0,,3.0,0.0,19,1
101,5,1.0,,3.0,0.0,19,1
102,5,1.0,,4.0,0.0,19,1
103,5,1.0,,3.0,0.0,19,1
104,5,1.0,,4.0,0.0,19,1
105,5,1.0,,3.0,0.0,19,1
106,5,1.0,,4.0,0.0,19,1
107,5,1.0,,4.0,0.0,19,1
108,5,1.0,,3.0,0.0,19,1
109,5,1.0,,3.0,0.0,19,1
110,5,1.0,,3.0,0.0,19,1
111,6,1.0,,3.0,0.0,19,1
112,6,1.0,,3.0,0.0,19,1
113,6,1.0,,3.0,496.0,19,1
114,6,1.0,,3.0,0.0,19,1
115,6,1.0,,3.0,0.0,19,1
116,6,1.0,,3.0,0.0,19,1
117,6,1.0,,3.0,0.0,19,1
118,6,1.0,,3.0,0.0,19,1
119,6,1.0,,4.0,0.0,19,1
120,6,1.0,,3.0,0.0,19,1
121,6,1.0,,4.0,483.0,19,1
122,6,1.0,,3.0,0.0,19,1
123,6,1.0,,4.0,0.0,19,1
124,6,1.0,,3.0,0.0,19,1
125,6,1.0,,3.0,0.0,19,1
126,6,1.0,,3.0,0.0,19,1
127,6,1.0,,3.0,0.0,19,1
128,6,1.0,,4.0,0.0,19,1
129,6,1.0,,3.0,0.0,19,1
130,6,1.0,,4.0,0.0,19,1
131,6,1.0,,3.0,0.0,19,1
132,6,1.0,,3.0,447.0,19,1
133,7,1.0,,3.0,0.0,19,1
134,7,1.0,,3.0,0.0,19,1
135,7,1.0,,3.0,389.0,19,1
136,7,1.0,,3.0,372.0,19,1
137,7,1.0,,3.0,0.0,19,1
138,7,1.0,,3.0,0.0,19,1
139,7,1.0,,4.0,0.0,19,1
140,7,1.0,,3.0,0.0,19,1
141,7,1.0,,3.0,0.0,19,1
142,7,1.0,,3.0,0.0,19,1
143,7,1.0,,3.0,0.0,19,1
144,7,1.0,,3.0,0.0,19,1
145,7,1.0,,4.0,0.0,19,1
146,7,1.0,,3.0,0.0,19,1
147,7,1.0,,3.0,0.0,19,1
148,7,1.0,,4.0,0.0,19,1
149,7,1.0,,3.0,0.0,19,1
150,7,1.0,,4.0,0.0,19,1
151,7,1.0,,4.0,0.0,19,1
152,7,1.0,,3.0,0.0,19,1
153,7,1.0,,3.0,0.0,19,1
154,7,1.0,,3.0,0.0,19,1
155,8,1.0,,3.0,0.0,19,1
156,8,1.0,,3.0,0.0,19,1
157,8,1.0,,3.0,0.0,19,1
158,8,1.0,,3.0,0.0,19,1
159,8,1.0,,4.0,0.0,19,1
160,8,1.0,,4.0,380.0,19,1
161,8,1.0,,3.0,0.0,19,1
162,8,1.0,,3.0,0.0,19,1
163,8,1.0,,3.0,0.0,19,1
164,8,1.0,,3.0,0.0,19,1
165,8,1.0,,4.0,0.0,19,1
166,8,1.0,,3.0,0.0,19,1
167,8,1.0,,3.0,0.0,19,1
168,8,1.0,,3.0,0.0,19,1
169,8,1.0,,3.0,0.0,19,1
170,8,1.0,,3.0,0.0,19,1
171,8,1.0,,3.0,443.0,19,1
172,8,1.0,,4.0,0.0,19,1
173,8,1.0,,3.0,0.0,19,1
174,8,1.0,,3.0,0.0,19,1
175,8,1.0,,4.0,0.0,19,1
176,8,1.0,,3.0,0.0,19,1
177,9,1.0,,3.0,0.0,19,1
178,9,1.0,,3.0,0.0,19,1
179,9,1.0,,3.0,0.0,19,1
180,9,1.0,,4.0,0.0,19,1
181,9,1.0,,3.0,0.0,19,1
182,9,1.0,,3.0,0.0,19,1
183,9,1.0,,3.0,382.0,19,1
184,9,1.0,,3.0,335.0,19,1
185,9,1.0,,3.0,219.0,19,1
186,9,1.0,,3.0,0.0,19,1
187,9,1.0,,4.0,354.0,19,1
188,9,1.0,,3.0,0.0,19,1
189,9,1.0,,3.0,245.0,19,1
190,9,1.0,,4.0,0.0,19,1
191,9,1.0,,4.0,0.0,19,1
192,9,1.0,,3.0,455.0,19,1
193,9,1.0,,4.0,0.0,19,1
194,9,1.0,,3.0,0.0,19,1
195,9,1.0,,3.0,0.0,19,1
196,9,1.0,,3.0,400.0,19,1
197,9,1.0,,3.0,0.0,19,1
198,9,1.0,,3.0,0.0,19,1
199,10,1.0,,3.0,0.0,19,1
200,10,1.0,,3.0,0.0,19,1
201,10,1.0,,3.0,0.0,19,1
202,10,1.0,,4.0,0.0,19,1
203,10,1.0,,4.0,0.0,19,1
204,10,1.0,,3.0,0.0,19,1
205,10,1.0,,3.0,0.0,19,1
206,10,1.0,,3.0,0.0,19,1
207,10,1.0,,3.0,0.0,19,1
208,10,1.0,,4.0,0.0,19,1
209,10,1.0,,3.0,0.0,19,1
210,10,1.0,,3.0,0.0,19,1
211,10,1.0,,4.0,0.0,19,1
212,10,1.0,,3.0,0.0,19,1
213,10,1.0,,3.0,0.0,19,1
214,10,1.0,,3.0,0.0,19,1
215,10,1.0,,4.0,0.0,19,1
216,10,1.0,,3.0,0.0,19,1
217,10,1.0,,3.0,0.0,19,1
218,10,1.0,,3.0,0.0,19,1
219,10,1.0,,3.0,0.0,19,1
220,10,1.0,,3.0,0.0,19,1
221,11,,,,,19,1
222,12,1.0,,3.0,0.0,19,1
223,12,1.0,,3.0,0.0,19,1
224,12,1.0,,3.0,0.0,19,1
225,12,1.0,,3.0,0.0,19,1
226,12,1.0,,3.0,0.0,19,1
227,12,1.0,,3.0,0.0,19,1
228,12,1.0,,3.0,0.0,19,1
229,12,1.0,,3.0,0.0,19,1
230,12,1.0,,3.0,0.0,19,1
231,12,1.0,,3.0,0.0,19,1
232,12,1.0,,3.0,0.0,19,1
233,12,1.0,,3.0,384.0,19,1
234,12,1.0,,4.0,0.0,19,1
235,12,1.0,,4.0,0.0,19,1
236,12,1.0,,4.0,448.0,19,1
237,12,1.0,,3.0,0.0,19,1
238,12,1.0,,4.0,0.0,19,1
239,12,1.0,,3.0,0.0,19,1
240,12,1.0,,3.0,0.0,19,1
241,12,1.0,,3.0,452.0,19,1
242,12,1.0,,3.0,443.0,19,1
243,12,1.0,,4.0,366.0,19,1
244,13,1.0,,3.0,0.0,19,1
245,13,1.0,,4.0,0.0,19,1
246,13,1.0,,3.0,0.0,19,1
247,13,1.0,,3.0,0.0,19,1
248,13,1.0,,4.0,0.0,19,1
249,13,1.0,,3.0,0.0,19,1
250,13,1.0,,3.0,0.0,19,1
251,13,1.0,,4.0,0.0,19,1
252,13,1.0,,3.0,495.0,19,1
253,13,1.0,,4.0,0.0,19,1
254,13,1.0,,4.0,420.0,19,1
255,13,1.0,,3.0,0.0,19,1
256,13,1.0,,3.0,466.0,19,1
257,13,1.0,,3.0,0.0,19,1
258,13,1.0,,3.0,418.0,19,1
259,13,1.0,,3.0,478.0,19,1
260,13,1.0,,3.0,0.0,19,1
261,13,1.0,,3.0,0.0,19,1
262,13,1.0,,3.0,0.0,19,1
263,13,1.0,,3.0,423.0,19,1
264,13,1.0,,4.0,0.0,19,1
265,13,1.0,,3.0,459.0,19,1
266,14,1.0,,3.0,0.0,19,1
267,14,1.0,,3.0,0.0,19,1
268,14,1.0,,3.0,440.0,19,1
269,14,1.0,,4.0,0.0,19,1
270,14,1.0,,3.0,449.0,19,1
271,14,1.0,,3.0,479.0,19,1
272,14,1.0,,4.0,465.0,19,1
273,14,1.0,,4.0,368.0,19,1
274,14,1.0,,3.0,391.0,19,1
275,14,1.0,,3.0,432.0,19,1
276,14,1.0,,4.0,410.0,19,1
277,14,1.0,,3.0,0.0,19,1
278,14,1.0,,3.0,446.0,19,1
279,14,1.0,,3.0,0.0,19,1
280,14,1.0,,3.0,0.0,19,1
281,14,1.0,,3.0,0.0,19,1
282,14,1.0,,3.0,489.0,19,1
283,14,1.0,,3.0,0.0,19,1
284,14,1.0,,3.0,424.0,19,1
285,14,1.0,,3.0,485.0,19,1
286,14,1.0,,4.0,456.0,19,1
287,14,1.0,,3.0,450.0,19,1
288,15,1.0,,3.0,0.0,19,1
289,15,1.0,,3.0,423.0,19,1
290,15,1.0,,3.0,402.0,19,1
291,15,1.0,,3.0,0.0,19,1
292,15,1.0,,3.0,0.0,19,1
293,15,1.0,,3.0,0.0,19,1
294,15,1.0,,3.0,0.0,19,1
295,15,1.0,,4.0,0.0,19,1
296,15,1.0,,4.0,0.0,19,1
297,15,1.0,,3.0,0.0,19,1
298,15,1.0,,4.0,0.0,19,1
299,15,1.0,,3.0,0.0,19,1
300,15,1.0,,3.0,0.0,19,1
301,15,1.0,,3.0,0.0,19,1
302,15,1.0,,3.0,0.0,19,1
303,15,1.0,,3.0,0.0,19,1
304,15,1.0,,4.0,0.0,19,1
305,15,1.0,,3.0,0.0,19,1
306,15,1.0,,4.0,0.0,19,1
307,15,1.0,,3.0,0.0,19,1
308,15,1.0,,3.0,0.0,19,1
309,15,1.0,,3.0,0.0,19,1
310,16,1.0,,3.0,0.0,19,1
311,16,1.0,,3.0,0.0,19,1
312,16,1.0,,3.0,0.0,19,1
313,16,1.0,,4.0,0.0,19,1
314,16,1.0,,4.0,0.0,19,1
315,16,1.0,,3.0,0.0,19,1
316,16,1.0,,3.0,0.0,19,1
317,16,1.0,,3.0,0.0,19,1
318,16,1.0,,3.0,0.0,19,1
319,16,1.0,,3.0,0.0,19,1
320,16,1.0,,3.0,0.0,19,1
321,16,1.0,,3.0,0.0,19,1
322,16,1.0,,3.0,0.0,19,1
323,16,1.0,,4.0,0.0,19,1
324,16,1.0,,4.0,0.0,19,1
325,16,1.0,,3.0,0.0,19,1
326,16,1.0,,3.0,0.0,19,1
327,16,1.0,,3.0,0.0,19,1
328,16,1.0,,4.0,0.0,19,1
329,16,1.0,,3.0,0.0,19,1
330,16,1.0,,3.0,0.0,19,1
331,16,1.0,,3.0,0.0,19,1
332,17,1.0,,3.0,68.0,19,1
333,17,1.0,,3.0,0.0,19,1
334,17,1.0,,3.0,0.0,19,1
335,17,1.0,,3.0,0.0,19,1
336,17,1.0,,4.0,0.0,19,1
337,17,1.0,,4.0,0.0,19,1
338,17,1.0,,3.0,0.0,19,1
339,17,1.0,,3.0,0.0,19,1
340,17,1.0,,3.0,0.0,19,1
341,17,1.0,,4.0,0.0,19,1
342,17,1.0,,3.0,0.0,19,1
343,17,1.0,,3.0,0.0,19,1
344,17,1.0,,3.0,490.0,19,1
345,17,1.0,,3.0,0.0,19,1
346,17,1.0,,3.0,0.0,19,1
347,17,1.0,,3.0,471.0,19,1
348,17,1.0,,4.0,0.0,19,1
349,17,1.0,,3.0,453.0,19,1
350,17,1.0,,3.0,0.0,19,1
351,17,1.0,,3.0,0.0,19,1
352,17,1.0,,3.0,394.0,19,1
353,17,1.0,,4.0,0.0,19,1
354,18,1.0,,3.0,0.0,19,1
355,18,1.0,,3.0,0.0,19,1
356,18,1.0,,3.0,475.0,19,1
357,18,1.0,,3.0,0.0,19,1
358,18,1.0,,3.0,0.0,19,1
359,18,1.0,,3.0,0.0,19,1
360,18,1.0,,3.0,0.0,19,1
361,18,1.0,,3.0,0.0,19,1
362,18,1.0,,3.0,487.0,19,1
363,18,1.0,,4.0,0.0,19,1
364,18,1.0,,4.0,0.0,19,1
365,18,1.0,,3.0,0.0,19,1
366,18,1.0,,3.0,0.0,19,1
367,18,1.0,,4.0,0.0,19,1
368,18,1.0,,3.0,0.0,19,1
369,18,1.0,,4.0,0.0,19,1
370,18,1.0,,3.0,0.0,19,1
371,18,1.0,,3.0,0.0,19,1
372,18,1.0,,3.0,0.0,19,1
373,18,1.0,,3.0,0.0,19,1
374,18,1.0,,4.0,0.0,19,1
375,18,1.0,,3.0,0.0,19,1
376,19,1.0,,3.0,0.0,19,1
377,19,1.0,,3.0,0.0,19,1
378,19,1.0,,3.0,0.0,19,1
379,19,1.0,,4.0,454.0,19,1
380,19,1.0,,3.0,418.0,19,1
381,19,1.0,,3.0,380.0,19,1
382,19,1.0,,4.0,440.0,19,1
383,19,1.0,,4.0,311.0,19,1
384,19,1.0,,3.0,357.0,19,1
385,19,1.0,,3.0,466.0,19,1
386,19,1.0,,4.0,0.0,19,1
387,19,1.0,,3.0,476.0,19,1
388,19,1.0,,3.0,0.0,19,1
389,19,1.0,,3.0,0.0,19,1
390,19,1.0,,3.0,386.0,19,1
391,19,1.0,,3.0,374.0,19,1
392,19,1.0,,3.0,393.0,19,1
393,19,1.0,,3.0,0.0,19,1
394,19,1.0,,3.0,370.0,19,1
395,19,1.0,,3.0,355.0,19,1
396,19,1.0,,4.0,0.0,19,1
397,19,1.0,,3.0,415.0,19,1
398,20,2.0,relax_music,3.0,0.0,19,1
399,20,2.0,relax_music,3.0,0.0,19,1
400,20,2.0,relax_music,3.0,0.0,19,1
401,20,2.0,relax_music,4.0,0.0,19,1
402,20,2.0,relax_music,4.0,0.0,19,1
403,20,2.0,relax_music,3.0,0.0,19,1
404,20,2.0,relax_music,4.0,0.0,19,1
405,20,2.0,relax_music,4.0,472.0,19,1
406,20,2.0,relax_music,3.0,0.0,19,1
407,20,2.0,relax_music,3.0,0.0,19,1
408,20,2.0,relax_music,3.0,460.0,19,1
409,20,2.0,relax_music,3.0,499.0,19,1
410,20,2.0,relax_music,3.0,0.0,19,1
411,20,2.0,relax_music,3.0,0.0,19,1
412,20,2.0,relax_music,4.0,0.0,19,1
413,20,2.0,relax_music,3.0,0.0,19,1
414,20,2.0,relax_music,3.0,0.0,19,1
415,20,2.0,relax_music,3.0,0.0,19,1
416,20,2.0,relax_music,3.0,446.0,19,1
417,20,2.0,relax_music,3.0,411.0,19,1
418,20,2.0,relax_music,3.0,359.0,19,1
419,20,2.0,relax_music,3.0,366.0,19,1
420,21,2.0,,3.0,0.0,19,1
421,21,2.0,,3.0,406.0,19,1
422,21,2.0,,3.0,390.0,19,1
423,21,2.0,,3.0,0.0,19,1
424,21,2.0,,3.0,435.0,19,1
425,21,2.0,,3.0,0.0,19,1
426,21,2.0,,4.0,0.0,19,1
427,21,2.0,,3.0,0.0,19,1
428,21,2.0,,4.0,0.0,19,1
429,21,2.0,,4.0,0.0,19,1
430,21,2.0,,4.0,0.0,19,1
431,21,2.0,,3.0,0.0,19,1
432,21,2.0,,3.0,0.0,19,1
433,21,2.0,,3.0,0.0,19,1
434,21,2.0,,3.0,0.0,19,1
435,21,2.0,,4.0,0.0,19,1
436,21,2.0,,3.0,0.0,19,1
437,21,2.0,,3.0,0.0,19,1
438,21,2.0,,3.0,0.0,19,1
439,21,2.0,,3.0,0.0,19,1
440,21,2.0,,3.0,0.0,19,1
441,21,2.0,,3.0,0.0,19,1
442,22,2.0,,3.0,0.0,19,1
443,22,2.0,,3.0,0.0,19,1
444,22,2.0,,3.0,445.0,19,1
445,22,2.0,,3.0,467.0,19,1
446,22,2.0,,3.0,396.0,19,1
447,22,2.0,,4.0,484.0,19,1
448,22,2.0,,3.0,0.0,19,1
449,22,2.0,,3.0,0.0,19,1
450,22,2.0,,3.0,0.0,19,1
451,22,2.0,,3.0,0.0,19,1
452,22,2.0,,3.0,0.0,19,1
453,22,2.0,,3.0,0.0,19,1
454,22,2.0,,3.0,0.0,19,1
455,22,2.0,,4.0,0.0,19,1
456,22,2.0,,3.0,494.0,19,1
457,22,2.0,,4.0,0.0,19,1
458,22,2.0,,3.0,0.0,19,1
459,22,2.0,,4.0,0.0,19,1
460,22,2.0,,4.0,0.0,19,1
461,22,2.0,,3.0,0.0,19,1
462,22,2.0,,3.0,0.0,19,1
463,22,2.0,,3.0,0.0,19,1
464,23,2.0,,3.0,0.0,19,1
465,23,2.0,,3.0,0.0,19,1
466,23,2.0,,3.0,0.0,19,1
467,23,2.0,,3.0,0.0,19,1
468,23,2.0,,3.0,0.0,19,1
469,23,2.0,,3.0,416.0,19,1
470,23,2.0,,3.0,0.0,19,1
471,23,2.0,,3.0,0.0,19,1
472,23,2.0,,4.0,0.0,19,1
473,23,2.0,,3.0,0.0,19,1
474,23,2.0,,4.0,0.0,19,1
475,23,2.0,,3.0,0.0,19,1
476,23,2.0,,4.0,0.0,19,1
477,23,2.0,,3.0,0.0,19,1
478,23,2.0,,3.0,402.0,19,1
479,23,2.0,,3.0,0.0,19,1
480,23,2.0,,3.0,366.0,19,1
481,23,2.0,,4.0,480.0,19,1
482,23,2.0,,3.0,0.0,19,1
483,23,2.0,,4.0,0.0,19,1
484,23,2.0,,3.0,0.0,19,1
485,23,2.0,,3.0,0.0,19,1
486,24,2.0,,3.0,0.0,19,1
487,24,2.0,,3.0,0.0,19,1
488,24,2.0,,3.0,0.0,19,1
489,24,2.0,,3.0,0.0,19,1
490,24,2.0,,3.0,488.0,19,1
491,24,2.0,,3.0,462.0,19,1
492,24,2.0,,4.0,0.0,19,1
493,24,2.0,,3.0,0.0,19,1
494,24,2.0,,3.0,0.0,19,1
495,24,2.0,,3.0,0.0,19,1
496,24,2.0,,3.0,464.0,19,1
497,24,2.0,,3.0,0.0,19,1
498,24,2.0,,4.0,0.0,19,1
499,24,2.0,,3.0,0.0,19,1
500,24,2.0,,3.0,0.0,19,1
501,24,2.0,,4.0,0.0,19,1
502,24,2.0,,3.0,0.0,19,1
503,24,2.0,,4.0,0.0,19,1
504,24,2.0,,4.0,0.0,19,1
505,24,2.0,,3.0,0.0,19,1
506,24,2.0,,3.0,0.0,19,1
507,24,2.0,,3.0,0.0,19,1
508,25,2.0,,3.0,0.0,19,1
509,25,2.0,,3.0,0.0,19,1
510,25,2.0,,3.0,0.0,19,1
511,25,2.0,,3.0,0.0,19,1
512,25,2.0,,4.0,0.0,19,1
513,25,2.0,,4.0,0.0,19,1
514,25,2.0,,3.0,466.0,19,1
515,25,2.0,,3.0,0.0,19,1
516,25,2.0,,3.0,0.0,19,1
517,25,2.0,,3.0,479.0,19,1
518,25,2.0,,4.0,0.0,19,1
519,25,2.0,,3.0,0.0,19,1
520,25,2.0,,3.0,459.0,19,1
521,25,2.0,,3.0,347.0,19,1
522,25,2.0,,3.0,434.0,19,1
523,25,2.0,,3.0,0.0,19,1
524,25,2.0,,3.0,426.0,19,1
525,25,2.0,,4.0,413.0,19,1
526,25,2.0,,3.0,0.0,19,1
527,25,2.0,,3.0,415.0,19,1
528,25,2.0,,4.0,0.0,19,1
529,25,2.0,,3.0,0.0,19,1
530,26,2.0,,3.0,0.0,19,1
531,26,2.0,,3.0,409.0,19,1
532,26,2.0,,3.0,349.0,19,1
533,26,2.0,,4.0,483.0,19,1
534,26,2.0,,3.0,0.0,19,1
535,26,2.0,,3.0,424.0,19,1
536,26,2.0,,3.0,346.0,19,1
537,26,2.0,,3.0,312.0,19,1
538,26,2.0,,3.0,452.0,19,1
539,26,2.0,,3.0,437.0,19,1
540,26,2.0,,4.0,0.0,19,1
541,26,2.0,,3.0,403.0,19,1
542,26,2.0,,3.0,0.0,19,1
543,26,2.0,,4.0,0.0,19,1
544,26,2.0,,4.0,330.0,19,1
545,26,2.0,,3.0,377.0,19,1
546,26,2.0,,4.0,387.0,19,1
547,26,2.0,,3.0,0.0,19,1
548,26,2.0,,3.0,417.0,19,1
549,26,2.0,,3.0,477.0,19,1
550,26,2.0,,3.0,388.0,19,1
551,26,2.0,,3.0,488.0,19,1
552,27,2.0,,3.0,0.0,19,1
553,27,2.0,,3.0,382.0,19,1
554,27,2.0,,3.0,0.0,19,1
555,27,2.0,,4.0,0.0,19,1
556,27,2.0,,4.0,0.0,19,1
557,27,2.0,,3.0,465.0,19,1
558,27,2.0,,3.0,0.0,19,1
559,27,2.0,,3.0,414.0,19,1
560,27,2.0,,3.0,397.0,19,1
561,27,2.0,,4.0,0.0,19,1
562,27,2.0,,3.0,0.0,19,1
563,27,2.0,,3.0,0.0,19,1
564,27,2.0,,4.0,0.0,19,1
565,27,2.0,,3.0,428.0,19,1
566,27,2.0,,3.0,0.0,19,1
567,27,2.0,,3.0,0.0,19,1
568,27,2.0,,4.0,0.0,19,1
569,27,2.0,,3.0,0.0,19,1
570,27,2.0,,3.0,0.0,19,1
